generation,best_fitness,mean_fitness,best_ticks,mean_ticks,best_fruits,mean_fruits,deaths_wall,deaths_self,deaths_stall,deaths_timeout
763,91200.00,43213.32,150,91.58,18,8.53,12,41,88,59
764,86060.00,35313.12,150,82.90,17,6.97,22,59,92,27
765,76170.00,38940.24,150,99.63,15,7.66,19,23,78,80
766,96040.00,33181.92,150,64.81,19,6.58,15,95,77,13
767,76030.00,34054.85,150,88.97,15,6.71,27,48,77,48
768,86080.00,34473.83,150,82.97,17,6.80,15,80,75,30
769,81150.00,35718.14,150,93.67,16,7.04,8,60,90,42
770,91080.00,46071.85,150,92.59,18,9.11,11,85,65,39
771,71150.00,35823.65,150,98.62,14,7.04,17,30,79,74
772,86170.00,37428.77,150,96.05,17,7.37,12,40,87,61
773,76070.00,40500.13,150,97.93,15,7.98,14,14,83,89
774,95930.00,29938.11,150,62.09,19,5.93,9,125,61,5
775,81100.00,33624.22,150,79.12,16,6.64,9,72,109,10
776,81060.00,35773.70,150,86.69,16,7.07,13,93,77,17
777,81070.00,36845.66,150,86.14,16,7.28,16,64,87,33
778,86100.00,41861.36,150,95.42,17,8.26,23,31,74,72
779,81130.00,42146.91,150,98.28,16,8.31,15,62,73,50
780,96110.00,49250.15,150,104.54,19,9.72,16,65,71,48
781,81190.00,42037.75,150,97.96,16,8.28,19,25,68,88
782,91060.00,43762.44,150,94.67,18,8.64,10,52,81,57
783,91140.00,51982.43,150,109.23,18,10.25,8,18,66,108
784,101090.00,62512.33,150,113.27,20,12.36,7,23,72,98
785,86120.00,52218.95,150,110.08,17,10.30,6,27,71,96
786,76110.00,44644.96,150,103.41,15,8.80,12,42,68,78
787,76040.00,45249.67,150,104.25,15,8.93,13,39,66,82
788,86090.00,32017.00,150,64.00,17,6.35,11,100,74,15
789,91030.00,46257.73,150,103.67,18,9.13,17,44,79,60
790,91100.00,38558.16,150,86.97,18,7.62,48,24,55,73
791,76080.00,47647.14,150,108.75,15,9.40,5,97,65,33
792,86070.00,39273.18,150,92.14,17,7.75,9,96,78,17
793,81110.00,40438.70,150,97.64,16,7.97,28,39,61,72
794,76130.00,33572.95,150,85.56,15,6.62,7,94,69,30
795,91060.00,44468.84,150,94.60,18,8.79,13,77,80,30
796,86070.00,49262.54,150,110.17,17,9.71,9,39,65,87
797,96090.00,50859.78,150,102.41,19,10.05,16,62,58,64
798,86090.00,38506.36,150,90.05,17,7.61,29,28,78,65
799,81110.00,42965.56,150,100.83,16,8.46,20,17,74,89
800,86050.00,45750.39,150,103.77,17,9.03,13,32,71,84
801,76070.00,40619.30,150,103.38,15,8.00,11,21,73,95
802,81120.00,47050.86,150,108.62,16,9.28,6,56,76,62
803,95990.00,43832.87,150,88.47,19,8.68,11,126,56,7
804,101040.00,39741.68,150,84.97,20,7.86,17,67,71,45
805,95900.00,38131.09,147,85.31,19,7.54,32,52,66,50
806,91030.00,44750.03,150,86.86,18,8.86,21,80,66,33
807,86080.00,40763.25,150,85.31,17,8.07,15,75,67,43
808,81120.00,47867.56,150,105.50,16,9.45,15,32,70,83
809,71100.00,31963.32,150,89.45,14,6.29,36,70,76,18
810,80720.00,39716.70,141,71.92,16,7.88,6,124,64,6
811,80980.00,28910.02,150,64.00,16,5.72,22,121,47,10
812,81050.00,39804.21,150,97.81,16,7.85,25,27,70,78
813,86100.00,46066.02,150,105.91,17,9.09,15,61,58,66
814,71130.00,38492.99,150,104.44,14,7.57,17,49,59,75
815,86120.00,43746.71,150,97.85,17,8.63,13,71,65,51
816,71050.00,39281.05,150,106.99,14,7.73,14,35,62,89
817,91020.00,28569.43,150,67.41,18,5.66,18,79,80,23
818,81090.00,41591.77,150,99.42,16,8.20,27,42,72,59
819,76080.00,36910.60,150,91.09,15,7.28,24,29,80,67
820,91070.00,36450.65,150,86.25,18,7.20,22,99,64,15
821,81050.00,41360.14,150,90.23,16,8.19,6,98,71,25
822,80950.00,38411.44,150,85.08,16,7.60,14,96,67,23
823,95950.00,51656.62,150,101.94,19,10.23,9,81,62,48
824,76200.00,42664.09,150,106.72,15,8.38,18,32,57,93
825,86130.00,46649.01,150,106.41,17,9.19,17,23,71,89
826,86170.00,49183.83,150,108.00,17,9.70,13,34,61,92
827,71090.00,27166.69,150,72.55,14,5.36,17,72,85,26
828,71210.00,35845.09,150,102.30,14,7.04,16,48,61,75
829,86090.00,47812.47,150,104.81,17,9.44,11,27,70,92
830,91080.00,49084.61,150,104.14,18,9.69,14,42,58,86
831,71090.00,49098.57,150,115.14,14,9.68,12,45,58,85
832,81130.00,53741.06,150,117.81,16,10.59,17,40,42,101
833,91120.00,54705.12,150,105.09,18,10.80,7,31,69,93
834,76010.00,46509.67,150,108.92,15,9.18,8,45,49,98
835,75910.00,49536.57,150,109.86,15,9.79,14,24,63,99
836,86070.00,50794.24,150,107.42,17,10.03,19,23,53,105
837,76060.00,45523.98,150,102.24,15,8.98,19,8,72,101
838,76230.00,50982.11,150,118.00,15,10.02,13,1,53,133
839,95900.00,56397.06,147,105.25,19,11.15,6,37,68,89
840,86070.00,52987.47,150,108.38,17,10.46,5,37,62,96
841,76220.00,49927.09,150,112.37,15,9.82,6,8,67,119
842,81140.00,51296.50,150,110.97,16,10.11,5,35,60,100
843,76150.00,46235.30,150,105.45,15,9.12,7,52,75,66
844,66030.00,35775.70,150,90.19,13,7.06,8,85,85,22
845,86060.00,43967.28,150,103.72,17,8.66,15,63,73,49
846,85970.00,44752.20,150,97.84,17,8.84,28,32,60,80
847,81120.00,44929.32,150,97.96,16,8.87,17,23,70,90
848,96180.00,55371.13,150,102.37,19,10.94,7,43,70,80
849,81100.00,51686.76,150,110.55,16,10.20,7,30,64,99
850,80990.00,38519.27,150,90.36,16,7.61,12,114,69,5
851,91020.00,28678.55,150,59.98,18,5.69,7,101,75,17
852,80920.00,32443.72,150,72.88,16,6.42,16,71,77,36
853,81180.00,33919.80,150,89.02,16,6.67,28,21,88,63
854,86130.00,45704.81,150,104.36,17,9.01,14,27,67,92
855,86070.00,43351.14,150,95.21,17,8.56,17,68,72,43
856,91040.00,36127.10,150,76.25,18,7.16,13,83,79,25
857,86150.00,39864.23,150,99.24,17,7.85,9,56,73,62
858,81180.00,42354.22,150,103.42,16,8.34,11,52,68,69
859,91010.00,48439.58,150,97.66,18,9.58,6,59,67,68
860,91120.00,53600.18,150,108.58,18,10.58,9,19,69,103
