generation,best_fitness,mean_fitness,best_ticks,mean_ticks,best_fruits,mean_fruits,deaths_wall,deaths_self,deaths_stall,deaths_timeout
916,113260.00,16778.23,200,66.08,14,2.06,42,3,135,20
917,113270.00,14379.08,200,61.30,14,1.76,39,2,150,9
918,129330.00,12809.02,200,60.85,16,1.57,41,1,144,14
919,129300.00,13971.46,200,59.61,16,1.72,43,9,140,8
920,121220.00,12965.66,200,61.30,15,1.59,21,11,165,3
921,105230.00,11624.03,200,61.66,13,1.42,24,4,163,9
922,121510.00,13828.82,200,63.97,15,1.69,28,7,149,16
923,129260.00,17306.78,200,62.33,16,2.13,33,5,154,8
924,137320.00,14168.17,200,61.27,17,1.74,37,7,147,9
925,105300.00,16619.81,200,70.42,13,2.04,41,8,140,11
926,113350.00,13566.71,200,62.48,14,1.66,45,7,133,15
927,129360.00,11521.49,200,59.88,16,1.41,33,8,147,12
928,121340.00,17301.88,200,71.00,15,2.12,47,10,130,13
929,129320.00,15543.34,200,64.06,16,1.91,42,15,129,14
930,113290.00,12264.05,200,59.77,14,1.50,32,8,152,8
931,137380.00,18342.50,200,68.44,17,2.25,31,18,136,15
932,121130.00,19000.23,192,65.12,15,2.34,26,10,155,9
933,137250.00,21249.94,200,75.14,17,2.61,38,11,138,13
934,113220.00,18022.17,200,70.22,14,2.21,31,11,136,22
935,113220.00,13065.12,200,65.95,14,1.60,26,10,156,8
936,129130.00,16813.84,200,69.42,16,2.06,29,7,150,14
937,97260.00,7674.80,200,58.58,12,0.93,22,5,166,7
938,112970.00,12002.83,159,63.84,14,1.47,31,12,153,4
939,113240.00,13395.54,200,59.91,14,1.65,36,10,145,9
940,121320.00,11759.21,200,59.05,15,1.44,39,9,145,7
941,105230.00,9892.33,200,56.20,13,1.21,40,11,140,9
942,121260.00,11825.62,200,57.85,15,1.45,43,5,147,5
943,105350.00,12279.57,200,60.84,13,1.50,49,5,133,13
944,129390.00,16325.59,200,67.17,16,2.00,19,6,162,13
945,121390.00,11315.55,200,58.24,15,1.39,37,1,151,11
946,105350.00,11905.66,200,60.61,13,1.46,38,3,149,10
947,113280.00,13275.34,200,62.71,14,1.62,30,6,151,13
948,113290.00,13053.45,200,60.41,14,1.60,28,6,160,6
949,113080.00,14449.64,184,65.84,14,1.77,22,6,160,12
950,121420.00,14079.39,200,66.48,15,1.72,30,4,153,13
951,121280.00,15512.80,200,55.80,15,1.91,50,2,141,7
952,121410.00,18473.21,200,62.73,15,2.27,57,7,129,7
953,113290.00,13708.95,200,59.34,14,1.69,51,3,133,13
954,113150.00,19032.63,200,64.61,14,2.35,28,4,158,10
955,113410.00,11128.57,200,58.73,14,1.36,37,3,146,14
